C.x,C.y,C.z,v.x,v.y,v.z,a.x,a.y,a.z,w.x,w.y,w.z,q.w,q.x,q.y,q.z,lf.theta,lf.beta,lf.theta_d,lf.beta_d,rf.theta,rf.beta,rf.theta_d,rf.beta_d,rh.theta,rh.beta,rh.theta_d,rh.beta_d,lh.theta,lh.beta,lh.theta_d,lh.beta_d,lf.contact,rf.contact,rh.contact,lh.contact,lf.dist,rf.dist,rh.dist,lh.dist
-1.00334,2.00606,0.114507,-0.02706364242370179,0.001458236044821292,0.007922749275478345,0.0009480328779554766,-0.009347619087230547,-0.01530997375978771,3.37229e-07,0.000391754,1.42296e-05,1.0,7.46033e-08,-3.65707e-05,-7.48482e-06,0.32197762283903597,-0.10608535000000008,0.070329999999999,-0.2344700000000005,0.3450869728390361,-0.17065299999999994,0.1231999999999997,-0.37720000000000115,0.34495297283903603,0.17083299999999996,0.12459999999999971,0.37540000000000073,0.3218027728390361,0.10628420000000005,0.07208999999999827,0.23231000000000085,0.0,0.0,0.0,0.0,0.114294,0.115311,0.115281,0.114265
-1.00347,2.00606,0.114542,-0.026966375222883955,0.001481500967047336,0.00789836677378735,0.019461018395837686,0.004650824460277677,-0.004849976488795704,3.37229e-07,0.000781569,2.56301e-05,1.0,7.54587e-08,-3.46168e-05,-7.42074e-06,0.3223262228390361,-0.10725774999999993,0.0697199999999995,-0.2344799999999994,0.345699472839036,-0.17253950000000007,0.12250000000000039,-0.37729999999999986,0.345571972839036,0.17270999999999997,0.1238000000000003,0.37539999999999935,0.32216027283903603,0.10744669999999998,0.07150000000000073,0.23249999999999799,0.0,0.0,0.0,0.0,0.114328,0.115354,0.115327,0.1143
-1.00361,2.00607,0.114578,-0.027071695907764166,0.0015132612749897782,0.0078862871680634,-0.02106794305617556,0.0063531079660162785,-0.0023999781369692386,3.37229e-07,0.000494156,1.37389e-05,1.0,7.63097e-08,-3.33814e-05,-7.3864e-06,0.32267197283903604,-0.10843000000000003,0.06914999999999977,-0.23444999999999855,0.3463084728390361,-0.1744255,0.12179999999999969,-0.37719999999999976,0.34618747283903606,0.1745875,0.1230999999999996,0.37549999999999945,0.322514372839036,0.1086096,0.0708200000000006,0.23258000000000306,0.0,0.0,0.0,0.0,0.114362,0.115399,0.115372,0.114335
-1.00375,2.00608,0.114614,-0.02714401935747595,0.0014967520054181113,0.007792950812609285,-0.014462231316175484,-0.0033030585325653007,-0.018659979588289133,3.37229e-07,0.000450798,1.32588e-05,1.0,7.716e-08,-3.22544e-05,-7.35325e-06,0.323014872839036,-0.10960210000000004,0.06858000000000142,-0.23442000000000185,0.346914472839036,-0.17631150000000007,0.12120000000000047,-0.37719999999999837,0.34679947283903606,0.17646550000000003,0.12240000000000029,0.3756000000000037,0.32286517283903604,0.1097728,0.07015999999999967,0.23263999999999785,0.0,0.0,0.0,0.0,0.114395,0.115442,0.115416,0.11437
-1.00388,2.00609,0.114648,-0.027193142651388173,0.0014734829867297725,0.007688233933425239,-0.009821138874167627,-0.00465356503502156,-0.02092998096178711,3.37229e-07,0.000441645,1.25528e-05,1.0,7.80102e-08,-3.11503e-05,-7.32187e-06,0.3233554728390361,-0.11077449999999994,0.0681199999999979,-0.2344799999999994,0.3475179728390361,-0.1781979999999999,0.12069999999999859,-0.37729999999999986,0.347408972839036,0.17834399999999995,0.12189999999999979,0.37569999999999826,0.32321327283903606,0.11093669999999997,0.06962000000000079,0.23278000000000187,0.0,0.0,0.0,0.0,0.114429,0.115485,0.11546,0.114404
-1.00402,2.00609,0.114683,-0.027226165361240437,0.0014497041514734794,0.007583776245722963,-0.006593951810154319,-0.004756501540443447,-0.02087998227931287,3.37229e-07,0.000438869,1.21325e-05,1.0,7.88604e-08,-3.00531e-05,-7.29154e-06,0.323693322839036,-0.11194665000000004,0.06757000000000152,-0.23443000000000075,0.348118472839036,-0.1800835,0.12010000000000076,-0.37710000000000243,0.34801497283903604,0.180223,0.12119999999999909,0.37579999999999836,0.32355827283903604,0.11210069999999997,0.06899999999999823,0.23279999999999829,0.0,0.0,0.0,0.0,0.114461,0.115527,0.115503,0.114437
-1.00415,2.0061,0.114717,-0.02726289421153334,0.001365912724913393,0.007548877573544417,-0.0073344889241001715,-0.016759068099198682,-0.006959984394168117,3.37229e-07,0.000740125,-6.59372e-06,1.0,7.97174e-08,-2.82028e-05,-7.30802e-06,0.32402907283903604,-0.11311890000000002,0.06715000000000054,-0.23445000000000132,0.3487164728390361,-0.18196949999999995,0.11960000000000026,-0.377199999999997,0.348617972839036,0.18210199999999996,0.12060000000000126,0.37580000000000113,0.323900722839036,0.11326524999999993,0.0684900000000016,0.23291000000000006,0.0,0.0,0.0,0.0,0.114494,0.115569,0.115547,0.114471
-1.00429,2.00611,0.114751,-0.027287522349708836,0.0013203219590221008,0.007481677787766915,-0.004919339790041052,-0.00911666464845203,-0.013419986188328181,3.37229e-07,0.000668285,-2.99078e-06,1.0,8.05729e-08,-2.65321e-05,-7.3155e-06,0.3243626728390361,-0.11429129999999998,0.06671999999999789,-0.23447999999999802,0.3493119728390361,-0.18385599999999996,0.11909999999999976,-0.37730000000000263,0.34921847283903606,0.18398150000000002,0.12010000000000076,0.37590000000000123,0.324240722839036,0.11443024999999996,0.068,0.23300000000000126,0.0,0.0,0.0,0.0,0.114526,0.11561,0.115589,0.114505
-1.00443,2.00611,0.114784,-0.027302251330208936,0.001302271363732958,0.007396627330013682,-0.0029449867319738436,-0.003611311196922866,-0.016989987873154533,3.37229e-07,0.000668332,-2.77704e-06,1.0,8.14284e-08,-2.48612e-05,-7.32244e-06,0.32469427283903607,-0.1154637,0.06632000000000166,-0.2344799999999994,0.3499049728390361,-0.18574200000000007,0.11859999999999926,-0.377199999999997,0.349815972839036,0.18586099999999997,0.11949999999999739,0.37589999999999846,0.32457837283903607,0.11559560000000002,0.06753000000000037,0.2330700000000005,0.0,0.0,0.0,0.0,0.114558,0.115651,0.115631,0.114538
-1.00456,2.00612,0.114817,-0.027309279584691058,0.0012901908597456881,0.007310857459067635,-0.001406507415897026,-0.0024151777439343305,-0.017139989431040448,3.37229e-07,0.000660748,-2.92704e-06,1.0,8.22837e-08,-2.32094e-05,-7.32976e-06,0.32502387283903605,-0.11663609999999996,0.06591999999999987,-0.2344800000000008,0.35049597283903605,-0.18762799999999996,0.11819999999999886,-0.37720000000000253,0.350411472839036,0.18774149999999995,0.11910000000000254,0.37609999999999866,0.324913622839036,0.11676134999999999,0.06704999999999767,0.23314999999999725,0.0,0.0,0.0,0.0,0.11459,0.115691,0.115673,0.114571
